,node_idx,explainer,pr_auc,roc_auc,f1,false_negative_rate,false_positive_rate,difficult_false_positives,precision,dataset_type,num_nodes,p_edge,homophily,labelled_fraction,seed,whitebox
0,212,Deconvolution,0.9772727272727273,0.9895833333333334,0.9523809523809523,0.0,0.041666666666666664,1.0,0.9090909090909091,ER,1000,0.005,0.33,0.8,3030,LPModel
1,425,Deconvolution,0.8734911530964162,0.9702380952380952,0.96,0.0,0.03571428571428571,1.0,0.9230769230769231,ER,1000,0.005,0.33,0.8,3030,LPModel
2,728,Deconvolution,0.8666666666666667,0.9454545454545454,0.9090909090909091,0.0,0.09090909090909091,1.0,0.8333333333333334,ER,1000,0.005,0.33,0.8,3030,LPModel
3,216,Deconvolution,1.0,1.0,0.972972972972973,0.0,0.019230769230769232,1.0,0.9473684210526315,ER,1000,0.005,0.33,0.8,3030,LPModel
4,856,Deconvolution,1.0,1.0,1.0,0.0,0.0,,1.0,ER,1000,0.005,0.33,0.8,3030,LPModel
5,156,Deconvolution,0.7786363636363637,0.9545454545454546,0.9361702127659575,0.0,0.05172413793103448,1.0,0.88,ER,1000,0.005,0.33,0.8,3030,LPModel
6,46,Deconvolution,1.0,1.0,1.0,0.0,0.0,,1.0,ER,1000,0.005,0.33,0.8,3030,LPModel
7,785,Deconvolution,0.825337883045631,0.9628065616371609,0.94,0.0,0.04580152671755725,1.0,0.8867924528301887,ER,1000,0.005,0.33,0.8,3030,LPModel
8,391,Deconvolution,0.5114452849606791,0.9058823529411765,0.8518518518518519,0.0,0.09411764705882353,1.0,0.7419354838709677,ER,1000,0.005,0.33,0.8,3030,LPModel
9,926,Deconvolution,0.7299873203719356,0.9655172413793104,0.9629629629629629,0.0,0.034482758620689655,1.0,0.9285714285714286,ER,1000,0.005,0.33,0.8,3030,LPModel
10,632,Deconvolution,0.6211764705882353,0.9457142857142857,0.8888888888888888,0.0,0.07142857142857142,1.0,0.8,ER,1000,0.005,0.33,0.8,3030,LPModel
11,302,Deconvolution,0.4166666666666667,0.962962962962963,0.8333333333333334,0.0,0.07407407407407407,1.0,0.7142857142857143,ER,1000,0.005,0.33,0.8,3030,LPModel
12,396,Deconvolution,0.5003373819163293,0.9408521303258145,0.8444444444444444,0.0,0.06666666666666667,1.0,0.7307692307692307,ER,1000,0.005,0.33,0.8,3030,LPModel
13,295,Deconvolution,0.8084415584415583,0.9743589743589743,0.9767441860465116,0.0,0.02564102564102564,1.0,0.9545454545454546,ER,1000,0.005,0.33,0.8,3030,LPModel
14,111,Deconvolution,1.0,1.0,1.0,0.0,0.0,,1.0,ER,1000,0.005,0.33,0.8,3030,LPModel
15,825,Deconvolution,0.5642586580086579,0.9207589285714286,0.8648648648648649,0.0,0.08928571428571429,1.0,0.7619047619047619,ER,1000,0.005,0.33,0.8,3030,LPModel
16,949,Deconvolution,1.0,1.0,1.0,0.0,0.0,,1.0,ER,1000,0.005,0.33,0.8,3030,LPModel
17,875,Deconvolution,0.6124074074074073,0.9821428571428571,0.9795918367346939,0.0,0.017857142857142856,1.0,0.96,ER,1000,0.005,0.33,0.8,3030,LPModel
18,130,Deconvolution,0.9302989130434782,0.980078125,0.9302325581395349,0.0,0.046875,1.0,0.8695652173913043,ER,1000,0.005,0.33,0.8,3030,LPModel
19,286,Deconvolution,0.7354106280193237,0.9574468085106383,0.9583333333333334,0.0,0.0425531914893617,1.0,0.92,ER,1000,0.005,0.33,0.8,3030,LPModel
20,697,Deconvolution,0.9036168582375479,0.9771428571428572,0.9259259259259259,0.0,0.04395604395604396,1.0,0.8620689655172413,ER,1000,0.005,0.33,0.8,3030,LPModel
21,18,Deconvolution,0.9148642533936651,0.9787037037037037,0.9375,0.0,0.044444444444444446,1.0,0.8823529411764706,ER,1000,0.005,0.33,0.8,3030,LPModel
22,490,Deconvolution,1.0,1.0,1.0,0.0,0.0,,1.0,ER,1000,0.005,0.33,0.8,3030,LPModel
23,91,Deconvolution,0.7149487032330537,0.9553285256410255,0.9411764705882353,0.0,0.05128205128205128,1.0,0.8888888888888888,ER,1000,0.005,0.33,0.8,3030,LPModel
24,241,Deconvolution,0.30995475113122173,0.8696969696969697,0.6923076923076923,0.0,0.14545454545454545,1.0,0.5294117647058824,ER,1000,0.005,0.33,0.8,3030,LPModel
25,858,Deconvolution,1.0,1.0,1.0,0.0,0.0,,1.0,ER,1000,0.005,0.33,0.8,3030,LPModel
26,304,Deconvolution,0.8941009970421734,0.9746407438715131,0.9629629629629629,0.0,0.03296703296703297,1.0,0.9285714285714286,ER,1000,0.005,0.33,0.8,3030,LPModel
27,977,Deconvolution,0.9174725738150429,0.9782608695652174,0.9722222222222222,0.0,0.028985507246376812,1.0,0.9459459459459459,ER,1000,0.005,0.33,0.8,3030,LPModel
28,162,Deconvolution,0.8135756269592477,0.9634482758620689,0.9508196721311475,0.0,0.04,1.0,0.90625,ER,1000,0.005,0.33,0.8,3030,LPModel
29,369,Deconvolution,0.8569312169312169,0.963041933191187,0.9130434782608695,0.0,0.05970149253731343,1.0,0.84,ER,1000,0.005,0.33,0.8,3030,LPModel
30,75,Deconvolution,0.6013257575757577,0.9390243902439025,0.9180327868852459,0.0,0.06097560975609756,1.0,0.8484848484848485,ER,1000,0.005,0.33,0.8,3030,LPModel
31,588,Deconvolution,0.710356672313194,0.9156010230179028,0.9019607843137255,0.0,0.09803921568627451,1.0,0.8214285714285714,ER,1000,0.005,0.33,0.8,3030,LPModel
32,477,Deconvolution,1.0,1.0,1.0,0.0,0.0,,1.0,ER,1000,0.005,0.33,0.8,3030,LPModel
33,604,Deconvolution,1.0,1.0,1.0,0.0,0.0,,1.0,ER,1000,0.005,0.33,0.8,3030,LPModel
34,362,Deconvolution,0.7503716422466422,0.9557245080500895,0.896551724137931,0.0,0.06976744186046512,1.0,0.8125,ER,1000,0.005,0.33,0.8,3030,LPModel
35,993,Deconvolution,0.9791666666666666,0.9947916666666666,0.9411764705882353,0.0,0.027777777777777776,1.0,0.8888888888888888,ER,1000,0.005,0.33,0.8,3030,LPModel
36,764,Deconvolution,1.0,1.0,1.0,0.0,0.0,,1.0,ER,1000,0.005,0.33,0.8,3030,LPModel
37,58,Deconvolution,0.9326746323529411,0.9881465517241379,0.9696969696969697,0.0,0.017241379310344827,1.0,0.9411764705882353,ER,1000,0.005,0.33,0.8,3030,LPModel
38,916,Deconvolution,0.6418650793650793,0.9455555555555556,0.9230769230769231,0.0,0.06,1.0,0.8571428571428571,ER,1000,0.005,0.33,0.8,3030,LPModel
39,507,Deconvolution,0.5341520467836257,0.9380116959064327,0.8823529411764706,0.0,0.07017543859649122,1.0,0.7894736842105263,ER,1000,0.005,0.33,0.8,3030,LPModel
40,849,Deconvolution,0.643081841432225,0.9583333333333334,0.9302325581395349,0.0,0.041666666666666664,1.0,0.8695652173913043,ER,1000,0.005,0.33,0.8,3030,LPModel
41,870,Deconvolution,0.9127272727272727,0.98125,0.9523809523809523,0.0,0.03125,1.0,0.9090909090909091,ER,1000,0.005,0.33,0.8,3030,LPModel
42,809,Deconvolution,0.949932441186814,0.9856790123456791,0.9642857142857143,0.0,0.02666666666666667,1.0,0.9310344827586207,ER,1000,0.005,0.33,0.8,3030,LPModel
43,900,Deconvolution,1.0,1.0,1.0,0.0,0.0,,1.0,ER,1000,0.005,0.33,0.8,3030,LPModel
44,451,Deconvolution,0.6166666666666667,0.8888888888888888,0.9090909090909091,0.0,0.1111111111111111,1.0,0.8333333333333334,ER,1000,0.005,0.33,0.8,3030,LPModel
45,27,Deconvolution,0.6655677655677655,0.9259259259259259,0.9285714285714286,0.0,0.07407407407407407,1.0,0.8666666666666667,ER,1000,0.005,0.33,0.8,3030,LPModel
46,528,Deconvolution,1.0,1.0,1.0,0.0,0.0,,1.0,ER,1000,0.005,0.33,0.8,3030,LPModel
