,node_idx,explainer,pr_auc,roc_auc,f1,false_negative_rate,false_positive_rate,difficult_false_positives,precision,dataset_type,num_nodes,p_edge,homophily,labelled_fraction,seed,whitebox
0,212,SubgraphX_postproc,0.6588235294117647,0.7166666666666668,0.6,0.4,0.16666666666666666,0.0,0.6,ER,1000,0.005,0.33,0.8,3030,LPModel
1,425,SubgraphX_postproc,0.5850129198966408,0.5436507936507937,0.45901639344262296,0.2222222222222222,0.6904761904761905,1.0,0.32558139534883723,ER,1000,0.005,0.33,0.8,3030,LPModel
2,728,SubgraphX_postproc,0.6468749999999999,0.6909090909090909,0.5833333333333334,0.3,0.3181818181818182,1.0,0.5,ER,1000,0.005,0.33,0.8,3030,LPModel
3,216,SubgraphX_postproc,0.6587301587301586,0.7136752136752136,0.5517241379310345,0.1111111111111111,0.46153846153846156,1.0,0.4,ER,1000,0.005,0.33,0.8,3030,LPModel
4,856,SubgraphX_postproc,0.2,0.4166666666666667,0.0,1.0,0.16666666666666666,,0.0,ER,1000,0.005,0.33,0.8,3030,LPModel
5,156,SubgraphX_postproc,0.6243055555555556,0.689655172413793,0.55,0.5,0.1206896551724138,0.0,0.6111111111111112,ER,1000,0.005,0.33,0.8,3030,LPModel
6,46,SubgraphX_postproc,0.6535714285714285,0.6555555555555556,0.5833333333333334,0.3,0.3888888888888889,,0.5,ER,1000,0.005,0.33,0.8,3030,LPModel
7,785,SubgraphX_postproc,0.5521543783662162,0.5877050511612798,0.4429530201342282,0.2978723404255319,0.5267175572519084,0.5,0.3235294117647059,ER,1000,0.005,0.33,0.8,3030,LPModel
8,391,SubgraphX_postproc,0.45390499194847017,0.5531969309462915,0.3466666666666667,0.43478260869565216,0.4588235294117647,0.5,0.25,ER,1000,0.005,0.33,0.8,3030,LPModel
9,926,SubgraphX_postproc,0.6499138116785177,0.5822281167108754,0.5106382978723404,0.07692307692307693,0.7586206896551724,0.5,0.35294117647058826,ER,1000,0.005,0.33,0.8,3030,LPModel
10,632,SubgraphX_postproc,0.5199652777777778,0.525,0.35714285714285715,0.25,0.7,1.0,0.234375,ER,1000,0.005,0.33,0.8,3030,LPModel
11,302,SubgraphX_postproc,0.4828125,0.6185185185185185,0.3333333333333333,0.3,0.46296296296296297,0.5,0.21875,ER,1000,0.005,0.33,0.8,3030,LPModel
12,396,SubgraphX_postproc,0.23717560029105023,0.49097744360902257,0.1702127659574468,0.7894736842105263,0.22857142857142856,0.2857142857142857,0.14285714285714285,ER,1000,0.005,0.33,0.8,3030,LPModel
